,structure,mean wt CN_1,std_dev wt CN_1,mean sgl_bd CN_1,std_dev sgl_bd CN_1,mean wt CN_2,std_dev wt CN_2,mean L-shaped CN_2,std_dev L-shaped CN_2,mean water-like CN_2,std_dev water-like CN_2,mean bent 120 degrees CN_2,std_dev bent 120 degrees CN_2,mean bent 150 degrees CN_2,std_dev bent 150 degrees CN_2,mean linear CN_2,std_dev linear CN_2,mean wt CN_3,std_dev wt CN_3,mean trigonal planar CN_3,std_dev trigonal planar CN_3,mean trigonal non-coplanar CN_3,std_dev trigonal non-coplanar CN_3,mean T-shaped CN_3,std_dev T-shaped CN_3,mean wt CN_4,std_dev wt CN_4,mean square co-planar CN_4,std_dev square co-planar CN_4,mean tetrahedral CN_4,std_dev tetrahedral CN_4,mean rectangular see-saw-like CN_4,std_dev rectangular see-saw-like CN_4,mean see-saw-like CN_4,std_dev see-saw-like CN_4,mean trigonal pyramidal CN_4,std_dev trigonal pyramidal CN_4,mean wt CN_5,std_dev wt CN_5,mean pentagonal planar CN_5,std_dev pentagonal planar CN_5,mean square pyramidal CN_5,std_dev square pyramidal CN_5,mean trigonal bipyramidal CN_5,std_dev trigonal bipyramidal CN_5,mean wt CN_6,std_dev wt CN_6,mean hexagonal planar CN_6,std_dev hexagonal planar CN_6,mean octahedral CN_6,std_dev octahedral CN_6,mean pentagonal pyramidal CN_6,std_dev pentagonal pyramidal CN_6,mean wt CN_7,std_dev wt CN_7,mean hexagonal pyramidal CN_7,std_dev hexagonal pyramidal CN_7,mean pentagonal bipyramidal CN_7,std_dev pentagonal bipyramidal CN_7,mean wt CN_8,std_dev wt CN_8,mean body-centered cubic CN_8,std_dev body-centered cubic CN_8,mean hexagonal bipyramidal CN_8,std_dev hexagonal bipyramidal CN_8,mean wt CN_9,std_dev wt CN_9,mean q2 CN_9,std_dev q2 CN_9,mean q4 CN_9,std_dev q4 CN_9,mean q6 CN_9,std_dev q6 CN_9,mean wt CN_10,std_dev wt CN_10,mean q2 CN_10,std_dev q2 CN_10,mean q4 CN_10,std_dev q4 CN_10,mean q6 CN_10,std_dev q6 CN_10,mean wt CN_11,std_dev wt CN_11,mean q2 CN_11,std_dev q2 CN_11,mean q4 CN_11,std_dev q4 CN_11,mean q6 CN_11,std_dev q6 CN_11,mean wt CN_12,std_dev wt CN_12,mean cuboctahedral CN_12,std_dev cuboctahedral CN_12,mean q2 CN_12,std_dev q2 CN_12,mean q4 CN_12,std_dev q4 CN_12,mean q6 CN_12,std_dev q6 CN_12,mean wt CN_13,std_dev wt CN_13,mean wt CN_14,std_dev wt CN_14,mean wt CN_15,std_dev wt CN_15,mean wt CN_16,std_dev wt CN_16,mean wt CN_17,std_dev wt CN_17,mean wt CN_18,std_dev wt CN_18,mean wt CN_19,std_dev wt CN_19,mean wt CN_20,std_dev wt CN_20,mean wt CN_21,std_dev wt CN_21,mean wt CN_22,std_dev wt CN_22,mean wt CN_23,std_dev wt CN_23,mean wt CN_24,std_dev wt CN_24
0,As2O3_14,0.6575348470503724,0.3906602723876643,0.6575348470503724,0.3906602723876643,0.33813634702076434,0.39394478573276104,0.18246762972695107,0.3433705015225743,0.17607990155296077,0.23672324274460593,0.17050663646636816,0.272447482596447,0.031176068529043387,0.053944925046196995,0.004289299382426518,0.00711296892483318,0.004074158062357713,0.008148316124715425,8.496896896538143e-05,0.00016993793793076286,0.0005919096803567939,0.0011838193607135877,0.003268512185858974,0.006537024371717948,0.000254647866505708,0.000509295733011416,0.00021804158571632013,0.00043608317143264025,2.4142869761943183e-05,4.828573952388637e-05,0.0002275257791650071,0.0004550515583300142,0.0002217278637076271,0.0004434557274152542,0.00010555240026862493,0.0002111048005372499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,As2O3_227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,As2S3_2,0.20918738737074763,0.19500825017778536,0.20918738737074763,0.19500825017778536,0.6127157895585309,0.22203314191295065,0.43218365983370777,0.13567662353566884,0.5575804580686367,0.24208057845530237,0.2077137118373836,0.12012414580793972,0.0018380896367471114,0.0014833487742605086,0.00040571232870289544,0.0002891771631710764,0.17809682307072153,0.21839482871774907,0.021744475379353805,0.026957152329972593,0.08865171030989785,0.10873347416606866,0.09008487889845296,0.1104386290036185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,As2Se3_12,0.42772545581382,0.3130130820206098,0.42772545581382,0.3130130820206098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722745441861801,0.2947660210921758,0.018202650682378918,0.028073069816082385,0.10932789772864937,0.15258549819325676,0.17283833890837957,0.14481880198931335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,As4S3_62,0.2301652887705455,0.17094907443705804,0.2301652887705455,0.17094907443705804,0.7698347112294545,0.1709490744370581,0.4379868111062445,0.14756351895171735,0.7450760991815379,0.1615992361136366,0.3448482283423767,0.12508545448170907,0.004228263064819339,0.0026938742353444867,0.0008312350966303691,0.00045409255322090335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,As4S5_11,0.36841733732195436,0.350125265918826,0.36841733732195436,0.350125265918826,0.47517340328760743,0.3689251062103517,0.20086500759787854,0.13775106840705395,0.4550255826076952,0.35163935113747347,0.27761785985579723,0.26617836452990373,0.005481189684140898,0.006568115246972918,0.000934685855336096,0.0010627735894258971,0.15640925939043815,0.349741736307417,0.03127368063042913,0.06993007579625803,0.12850156818242306,0.287338241671222,0.062395241178212386,0.13952000074697696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,As8S9_13,0.6010874317274523,0.4074361983495973,0.6010874317274523,0.4074361983495973,0.34763165585777794,0.3742396714065952,0.1888178070471342,0.20143256822036407,0.3281940701374235,0.36659230718970215,0.16547375172287565,0.20772160884816376,0.0025242747024062555,0.00393117974246398,0.00046196312931872676,0.0006710478048746852,0.05128091241476982,0.15384273724430944,0.0035811093078950426,0.010743327923685127,0.024065019764160873,0.07219505929248263,0.024878829551951958,0.07463648865585588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AsBr3_19,0.7501393508078621,0.4327713392129264,0.7501393508078621,0.4327713392129264,0.000972434855214468,0.0016843065762823435,0.0008071104175588019,0.0013979562505299764,0.0008323561174262554,0.001441683085373041,0.00023936012968679753,0.00041458390592380884,1.251931952078538e-06,2.168409748618913e-06,3.4737501741368767e-07,6.016711794406305e-07,0.24888821433692343,0.43108703263664405,0.013389619103798956,0.02319150058177465,0.10658945485497584,0.1846183513598873,0.10503059536935297,0.18191832752892778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AsO2_62,0.6333622881773852,0.45205038013727117,0.6333622881773852,0.45205038013727117,0.1746764280967717,0.3301166057333045,0.002310052844155335,0.0037714794204258373,0.048349936696777986,0.0870400456602493,0.16174662103060486,0.3043046821476954,0.040320714453680205,0.07857120330109242,0.005413617740169427,0.010551840269414548,0.19196128372584317,0.38392256745168635,0.11702701783595673,0.2340540356719135,0.16844267572490915,0.3368853514498183,0.051676830965377875,0.10335366193075575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AsS2_4,0.39522580954211195,0.44053844395025415,0.39522580954211195,0.44053844395025415,0.4533095849556048,0.441450321553912,0.3195471923735856,0.35622964636604654,0.3596830731007183,0.37128490496990985,0.14614080271987703,0.18596400916452657,0.001765322409991798,0.0028828734327175963,0.00034704721157570456,0.0005228050009835951,0.1510401926036471,0.3378751065070384,0.02465186027612415,0.06200439443514798,0.08240630765139895,0.1879982396240548,0.07912618106734942,0.17714240190766264,0.0004244128986360968,0.0009490160918780402,0.00015027549729277484,0.00033602760094034347,0.00016911162451264052,0.0003816766850077329,0.00020380508630381687,0.00045668423674238823,0.00024057602751528448,0.0005379880881583404,0.00024122153723892532,0.000539434548532667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
